Timestamp,Number,Duration,Label,spam_probability,predicted_label,fine_euro
2026-03-05 05:18:53,+4916310972368,44,Normal,0.3785,Normal,0.0
2026-05-12 21:23:09,+4915553455207,287,Spam,0.6598,Spam,0.2
2026-03-24 17:33:51,+4916248162186,149,Normal,0.3551,Normal,0.0
2026-02-28 11:00:06,+4930149867425,524,Spam,0.5821,Spam,0.2
2026-03-01 13:12:06,+4922864359895,211,Spam,0.6951,Spam,0.2
2026-02-28 19:17:56,+4920126031917,28,Normal,0.1525,Normal,0.0
2026-02-19 23:01:27,+4930818248166,170,Normal,0.1883,Normal,0.0
2026-02-21 07:55:47,+4922171004496,186,Normal,0.3061,Normal,0.0
2026-04-19 13:06:19,+4917364221948,32,Normal,0.1288,Normal,0.0
2026-04-16 17:21:38,+4915250912784,556,Normal,0.2214,Normal,0.0
2026-03-06 14:48:17,+4969431438503,562,Normal,0.1801,Normal,0.0
2026-02-17 11:55:07,+4930017058536,71,Normal,0.1535,Normal,0.0
2026-05-07 21:17:02,+4920102595473,35,Normal,0.1265,Normal,0.0
2026-02-11 11:11:02,+4917135455934,595,Normal,0.2757,Normal,0.0
2026-03-02 18:33:01,+4916221628386,81,Spam,0.7178,Spam,0.2
2026-02-01 13:35:58,+4922890076361,305,Normal,0.2438,Normal,0.0
2026-02-15 19:09:06,+4917505156990,351,Normal,0.1953,Normal,0.0
2026-03-29 18:27:29,+4917752114535,312,Spam,0.2633,Normal,0.0
2026-04-13 10:35:57,+4917367415314,343,Normal,0.4614,Normal,0.0
2026-05-21 20:47:49,+4916368468910,15,Spam,0.5021,Spam,0.2
2026-05-22 10:20:57,+4917386625495,40,Spam,0.5227,Spam,0.2
2026-04-26 19:07:28,+4916076738787,537,Normal,0.2224,Normal,0.0
2026-04-07 04:33:24,+4917968905200,508,Normal,0.3023,Normal,0.0
2026-04-22 17:38:47,+4917362737011,342,Normal,0.3255,Normal,0.0
2026-05-15 08:54:46,+4915547654000,3,Normal,0.1052,Normal,0.0
2026-05-02 21:22:34,+4915763457785,583,Normal,0.3046,Normal,0.0
2026-05-05 07:00:15,+4991193593795,431,Spam,0.1563,Normal,0.0
2026-03-27 14:10:32,+4915739617201,44,Normal,0.3454,Normal,0.0
2026-03-28 05:30:01,+4915286562849,92,Normal,0.3,Normal,0.0
2026-05-05 03:50:36,+4917848851400,77,Spam,0.6863,Spam,0.2
2026-04-05 13:11:08,+4930369021272,588,Normal,0.215,Normal,0.0
2026-03-12 19:01:17,+4917604662446,180,Spam,0.5335,Spam,0.2
2026-05-05 08:31:37,+4916384154609,575,Normal,0.2499,Normal,0.0
2026-02-13 22:36:50,+4917160141660,548,Normal,0.3965,Normal,0.0
2026-03-14 06:39:23,+4917570475931,357,Normal,0.2397,Normal,0.0
2026-03-17 19:49:56,+4917913490504,425,Normal,0.3534,Normal,0.0
2026-05-03 16:29:32,+4917034103566,429,Normal,0.1486,Normal,0.0
2026-05-19 14:01:42,+4917610191979,513,Normal,0.3146,Normal,0.0
2026-02-08 20:30:23,+4915935344503,408,Normal,0.1716,Normal,0.0
2026-02-22 08:43:51,+4915944022308,362,Normal,0.3082,Normal,0.0
2026-03-19 05:29:04,+4917887252122,359,Normal,0.3258,Normal,0.0
2026-05-09 15:06:10,+4969649635606,367,Normal,0.1504,Normal,0.0
2026-03-13 14:07:13,+4917794970426,127,Normal,0.3526,Normal,0.0
2026-05-01 17:32:06,+4917662986418,277,Normal,0.4166,Normal,0.0
2026-05-02 22:32:54,+4917370126697,545,Spam,0.8756,Spam,0.2
2026-01-25 23:00:06,+4921106941385,472,Normal,0.1259,Normal,0.0
2026-02-08 03:52:16,+4916385321420,431,Spam,0.6167,Spam,0.2
2026-04-11 15:40:21,+4989452926448,276,Spam,0.6286,Spam,0.2
2026-04-03 19:01:42,+4922873243529,113,Normal,0.2383,Normal,0.0
2026-05-16 12:37:24,+4922843990676,432,Normal,0.1158,Normal,0.0
2026-05-11 18:24:00,+4915208150764,46,Spam,0.7094,Spam,0.2
2026-03-08 10:46:03,+4915216983773,307,Normal,0.2559,Normal,0.0
2026-04-07 23:48:25,+4915270045229,227,Normal,0.3828,Normal,0.0
2026-02-13 22:02:13,+4917197085785,374,Normal,0.1575,Normal,0.0
2026-04-12 00:41:01,+4917019991710,589,Normal,0.1295,Normal,0.0
2026-03-21 10:10:24,+4915778571397,78,Spam,0.3745,Normal,0.0
2026-05-07 12:33:14,+4915171612460,59,Normal,0.4035,Normal,0.0
2026-02-07 18:29:06,+4930938333863,106,Spam,0.5394,Spam,0.2
2026-03-20 05:48:38,+4916218121458,580,Spam,0.5584,Spam,0.2
2026-05-23 05:38:51,+4917038028489,21,Spam,0.5424,Spam,0.2
2026-04-21 09:40:36,+4917559753735,27,Spam,0.6859,Spam,0.2
2026-02-19 01:59:28,+4917615078668,503,Spam,0.4993,Normal,0.0
2026-02-18 11:20:52,+4915990929476,295,Normal,0.5053,Spam,0.2
2026-04-02 06:36:52,+4922135161316,595,Normal,0.2489,Normal,0.0
2026-03-17 20:03:11,+4930732406025,404,Normal,0.1433,Normal,0.0
2026-03-30 15:55:34,+4917839537414,316,Normal,0.3444,Normal,0.0
2026-04-23 15:05:35,+4923131669453,495,Normal,0.1253,Normal,0.0
2026-04-26 13:46:40,+4917153030988,414,Normal,0.1539,Normal,0.0
2026-02-09 12:27:30,+4915245655747,35,Spam,0.6034,Spam,0.2
2026-02-09 13:37:44,+4922151554844,518,Spam,0.1238,Normal,0.0
2026-03-14 08:47:35,+4920178648788,526,Normal,0.3574,Normal,0.0
2026-03-01 07:53:43,+4916206660393,481,Spam,0.5353,Spam,0.2
2026-04-03 04:51:18,+4922117372731,310,Spam,0.6353,Spam,0.2
2026-02-10 10:05:54,+4917259150945,12,Spam,0.4288,Normal,0.0
2026-03-14 20:23:35,+4915270919985,43,Normal,0.2075,Normal,0.0
2026-03-14 15:52:38,+4915929600732,151,Normal,0.3254,Normal,0.0
2026-03-12 02:53:44,+4916052823153,384,Normal,0.3493,Normal,0.0
2026-01-27 02:02:10,+4917118854362,239,Normal,0.6871,Spam,0.2
2026-03-22 20:56:45,+4920136524881,261,Normal,0.3148,Normal,0.0
2026-01-29 12:36:48,+4917559028053,82,Normal,0.3436,Normal,0.0
2026-03-02 14:24:27,+4915543677700,200,Normal,0.3351,Normal,0.0
